schema_version,team_id,organization_id,team_name,product_ids,team_geography,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,TEAM-0C39340AA026AE3A,ORG-F2B40DD356C63BE6,Phonely,"[""PROD-3EF7A0F634B38CFA""]","[""United States""]",active,0.9,"[""AMC-6692""]",1
agent-hiring-map-public/1.0,TEAM-0C8E27D2FE006073,ORG-CA01FDC0610FAE51,PaXini,"[""PROD-D7A79A4319D912F8""]","[""China""]",active,0.9,"[""AMC-4549""]",1
agent-hiring-map-public/1.0,TEAM-0D08DC9570146B68,ORG-2185A762DA3E3EE3,AgiBot / 智元机器人,"[""PROD-CB3A1AA8E74BEBCC""]","[""China""]",active,0.9,"[""AMC-7199""]",1
agent-hiring-map-public/1.0,TEAM-0D1F32A85B8D76AD,ORG-4073BDB829811FAA,Powder,"[""PROD-EEDB50D44061AF4A""]","[""United States""]",active,0.9,"[""AMC-6775""]",1
agent-hiring-map-public/1.0,TEAM-0D21D5920364D353,ORG-E2CEF5396C0E32C8,SDL / GovPilot ecosystem,"[""PROD-06788DC118E88A0A""]","[""United States""]",active,0.9,"[""AMC-7037""]",1
agent-hiring-map-public/1.0,TEAM-0D2DBE4C3A9333A9,ORG-CC7E1D2274A1260D,Nutanix,"[""PROD-11DE49AAFCA2964D""]","[""United States""]",active,0.9,"[""AMC-7053""]",1
agent-hiring-map-public/1.0,TEAM-0D4C26B19C72E699,ORG-857741F4371F0507,Nagarro,"[""PROD-0B50BD21091C487D"",""PROD-1C7D8E5C4B2243CD"",""PROD-35C3542349093907"",""PROD-8C63937B893096D5"",""PROD-B776CD48C99771D7"",""PROD-D4D98C08AF51A79E"",""PROD-DB8A4C36B5BA178F"",""PROD-F2BFC254C344E2B6"",""PROD-FA15D3AD390D16E3""]","[""China"",""United States""]",active,0.9,"[""AMC-5302"",""AMC-5303"",""AMC-5307"",""AMC-5315"",""AMC-5323"",""AMC-5324"",""AMC-5327"",""AMC-5328"",""AMC-5331""]",1
agent-hiring-map-public/1.0,TEAM-0D80818D648580BD,ORG-E3C9964E368C656E,Identity Digital,"[""PROD-7A5340C90D8F543D""]","[""United States""]",active,0.9,"[""AMC-6952""]",1
agent-hiring-map-public/1.0,TEAM-0DBB647A18D14271,ORG-3038426692327240,Mount Sinai Health System,"[""PROD-5E05DEF00FA9F814""]","[""United States""]",active,0.9,"[""AMC-6356""]",1
agent-hiring-map-public/1.0,TEAM-0DBF640EC0E0A597,ORG-C2801C87B0EBFEBB,Mashang Consumer Finance / 马上消费,"[""PROD-32C66B8E48181CCE"",""PROD-764882AC24D15B38"",""PROD-767E0659ADF8C621""]","[""China""]",active,0.9,"[""AMC-1413"",""AMC-4800"",""AMC-4801""]",1
agent-hiring-map-public/1.0,TEAM-0DE709FC4D1BDB56,ORG-330918A4BBEB08B0,Nebutra Intelligence / 无锡 Nebutra Intelligence,"[""PROD-A6DEE195E7F319D9""]","[""China""]",active,0.9,"[""AMC-6683""]",1
agent-hiring-map-public/1.0,TEAM-0E2837857D875960,ORG-DB006BD3762F8F56,合肥工业大学白羽团队,"[""PROD-994F8F68A26DFF37""]","[""China""]",active,1.0,"[""AMC-6621""]",1
agent-hiring-map-public/1.0,TEAM-0E8003F1AA64EDA6,ORG-C1424287E4112A03,厚锋科技（上海）有限公司,"[""PROD-A0DD78F4B7B58ADD""]","[""China""]",active,0.9,"[""AMC-6477""]",1
agent-hiring-map-public/1.0,TEAM-0E9504BF8715B6D5,ORG-309DAA679368E237,中国科学院西安光机所大数据与人工智能中心,"[""PROD-F8E3955ACA0B2C9D""]","[""China""]",active,1.0,"[""AMC-6528""]",1
agent-hiring-map-public/1.0,TEAM-0E97E1923CB4B8A0,ORG-96C0972E97FE67E7,Gilead Sciences,"[""PROD-BEC381C28E8701EF""]","[""United States""]",active,0.9,"[""AMC-6935""]",1
agent-hiring-map-public/1.0,TEAM-0EB69C82191FFC33,ORG-B8EB5F54EC647589,Leapmotor / 浙江零跑科技股份有限公司,"[""PROD-E210918E429D0988"",""PROD-E22241FE457F8892""]","[""China""]",active,0.9,"[""AMC-6734"",""AMC-6735""]",1
agent-hiring-map-public/1.0,TEAM-0EE7CED14396860B,ORG-E721E319E5F96D78,Amulet,"[""PROD-08BFA8ED284B00A8""]","[""United States""]",active,0.9,"[""AMC-7180""]",1
agent-hiring-map-public/1.0,TEAM-0F85B636A1E0C67D,ORG-E024430C7706C72B,Memory Store,"[""PROD-D0BD59B74F9F9E33""]","[""United States""]",active,0.9,"[""AMC-7076""]",1
agent-hiring-map-public/1.0,TEAM-0FA075D6B8D464C5,ORG-7B3FF540030C0B68,Rovi Health,"[""PROD-4D59F2CED9D93B9C""]","[""United States""]",active,0.9,"[""AMC-6649""]",1
agent-hiring-map-public/1.0,TEAM-0FAF84AA06E01109,ORG-55ED8B419D94D797,Refactor,"[""PROD-9F345563A0A4695B""]","[""United States""]",active,0.9,"[""AMC-6969""]",1
